date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-08-14,84.2186,84.3716,83.7937,84.2101,6547528,6547528,0,0,84.0639,"Aug 14, 14",0.06583730337533734
2014-08-15,84.3376,84.499,83.4028,84.1591,9234925,9234925,-0.05099,-0.061,84.0525,"Aug 15, 14",0.0651918023906319
2014-08-18,84.3716,84.584,84.2144,84.5755,7143392,7143392,0.416418,0.495,84.4288,"Aug 18, 14",0.07046212807752102
2014-08-19,84.5585,84.941,84.499,84.55,8888327,8888327,-0.025493,-0.03,84.6545,"Aug 19, 14",0.0701393775851682
2014-08-20,84.601,84.8985,84.1676,84.7285,6753128,6753128,0.178464,0.211,84.534,"Aug 20, 14",0.07239863103163717
2014-08-21,84.8135,85.0429,84.3546,84.3716,6826246,6826246,-0.356932,-0.421,84.6534,"Aug 21, 14",0.06788138982690456
2014-08-22,84.0401,84.1166,83.3518,83.7087,8096103,8096103,-0.66287,-0.786,83.7026,"Aug 22, 14",0.059491142713939266
2014-08-25,83.9722,84.0486,83.7087,83.9212,7570029,7570029,0.21246,0.254,83.8899,"Aug 25, 14",0.06218073015021194
2014-08-26,84.2356,85.2469,84.1506,84.6775,8536472,8536472,0.75635,0.901,84.815,"Aug 26, 14",0.07175313004693172
2014-08-27,84.7965,84.9495,84.2101,84.584,5849223,5849223,-0.093479,-0.11,84.5698,"Aug 27, 14",0.07056971157497188
2014-08-28,84.1676,84.7625,84.1421,84.618,6072738,6072738,0.033994,0.04,84.5331,"Aug 28, 14",0.0710000455647754
2014-08-29,84.4566,84.703,83.8957,84.5245,8873707,8873707,-0.093483,-0.11,84.3698,"Aug 29, 14",0.06981662709281557
2014-09-02,84.499,84.635,83.1223,83.7002,8966533,8966533,-0.824339,-0.975,83.6055,"Sep 2, 14",0.059383559216488385
2014-09-03,84.0146,84.635,84.0146,84.2271,8481019,8481019,0.526896,0.63,84.3498,"Sep 3, 14",0.06605247037023909
2014-09-04,84.1336,84.516,83.2583,83.5897,9662876,9662876,-0.637374,-0.757,83.8208,"Sep 4, 14",0.05798497374962661
2014-09-05,83.9127,84.3886,83.3773,84.3546,9486572,9486572,0.764849,0.915,84.0695,"Sep 5, 14",0.06766622283200281
2014-09-08,84.0656,84.0656,82.8164,83.0883,10080099,10080099,-1.2663,-1.501,83.1904,"Sep 8, 14",0.051638813088228715
2014-09-09,83.0203,83.3093,82.4,82.7654,9762259,9762259,-0.322938,-0.389,82.8323,"Sep 9, 14",0.04755190587329961
2014-09-10,82.7399,82.8844,81.4396,82.2725,12113689,12113689,-0.492903,-0.596,82.0516,"Sep 10, 14",0.041313328709352413
2014-09-11,81.8561,82.5359,81.4311,82.4594,10181311,10181311,0.186965,0.227,82.1508,"Sep 11, 14",0.0436788999650671
2014-09-12,82.0345,82.0855,81.2697,81.3972,10270116,10270116,-1.0623,-1.288,81.545,"Sep 12, 14",0.03023475984831997
2014-09-15,81.3547,81.924,81.0742,81.8306,10694860,10694860,0.433414,0.532,81.6066,"Sep 15, 14",0.035720252530110845
2014-09-16,81.7796,83.3263,81.6011,82.7994,11582529,11582529,0.968813,1.184,82.786,"Sep 16, 14",0.04798223986310331
2014-09-17,83.2073,83.2243,82.264,82.5019,8777778,8777778,-0.297442,-0.359,82.6398,"Sep 17, 14",0.04421681745232167
2014-09-18,82.5614,82.7059,81.992,82.1025,8636631,8636631,-0.399421,-0.484,82.2294,"Sep 18, 14",0.03916165876033449
2014-09-19,82.5019,82.9099,82.3192,82.5359,18178477,18178477,0.433412,0.528,82.6449,"Sep 19, 14",0.04464715144212519
2014-09-22,82.349,82.434,81.8136,82.043,8824870,8824870,-0.492901,-0.597,82.0249,"Sep 22, 14",0.03840857427817817
2014-09-23,81.8221,82.5699,81.6096,81.6096,10300659,10300659,-0.433418,-0.528,81.9282,"Sep 23, 14",0.032923081596387294
2014-09-24,81.4736,81.7966,80.5983,81.4311,12200003,12200003,-0.178467,-0.219,81.1387,"Sep 24, 14",0.030663828149918314
2014-09-25,81.2952,81.4906,80.0546,80.0969,12854240,12854240,-1.3342,-1.638,80.4824,"Sep 25, 14",0.013777016114742363
2014-09-26,80.1649,81.3802,79.7145,81.0997,11256807,11256807,1.0028,1.252,80.7822,"Sep 26, 14",0.026469337437538338
2014-09-29,80.4878,80.5473,79.7145,80.2499,14023092,14023092,-0.849835,-1.048,80.1352,"Sep 29, 14",0.01571351906885853
2014-09-30,79.9779,80.5728,79.5615,79.9269,15579333,15579333,-0.322938,-0.402,79.9597,"Sep 30, 14",0.011625346165724262
2014-10-01,79.9779,80.3434,78.7924,78.9156,14028600,14028600,-1.0113,-1.265,79.4323,"Oct 1, 14",-0.0011745586545227709
2014-10-02,78.5162,79.7995,78.2358,79.2896,13756563,13756563,0.373928,0.474,78.9889,"Oct 2, 14",0.003559115233316943
2014-10-03,79.5445,79.9779,78.6777,79.8165,11572112,11572112,0.526896,0.665,79.4991,"Oct 3, 14",0.010228026387067834
2014-10-06,79.8929,81.0147,79.808,80.3264,10599719,10599719,0.5099,0.639,80.3818,"Oct 6, 14",0.01668177054591679
2014-10-07,80.1139,80.8958,79.3151,79.3491,10787852,10787852,-0.977308,-1.217,80.0008,"Oct 7, 14",0.004312199715473449
2014-10-08,79.3915,80.5898,78.5417,80.4029,15592479,15592479,1.0538,1.328,79.6666,"Oct 8, 14",0.017650022022974873
2014-10-09,79.9269,80.3009,77.8703,78.0318,17917680,17917680,-2.371,-2.949,78.513,"Oct 9, 14",-0.012360711013006094
2014-10-10,78.5587,79.2641,77.25,77.8448,18173104,18173104,-0.186965,-0.24,78.1268,"Oct 10, 14",-0.01472754795692595
2014-10-13,77.6069,78.6352,77.131,77.199,14451647,14451647,-0.645873,-0.83,77.9193,"Oct 13, 14",-0.022901362386784148
2014-10-14,77.7514,78.3802,76.5362,76.9525,23121774,23121774,-0.24645,-0.319,77.44,"Oct 14, 14",-0.02602128381286033
2014-10-15,75.6353,77.0035,73.8591,76.6721,24704546,24704546,-0.280447,-0.364,75.84,"Oct 15, 14",-0.02957027354053486
2014-10-16,75.2783,77.5644,74.9384,76.995,25215899,25215899,0.322937,0.421,76.6994,"Oct 16, 14",-0.02548336632560576
2014-10-17,77.4454,78.3972,76.91,77.5134,18194303,18194303,0.5184,0.673,77.5678,"Oct 17, 14",-0.01892203866930593
2014-10-20,77.0205,78.0913,77.0205,77.9893,10826502,10826502,0.475908,0.614,77.7198,"Oct 20, 14",-0.012898628500260663
2014-10-21,78.9156,79.9099,78.4907,79.587,15757046,15757046,1.5977,2.049,79.248,"Oct 21, 14",0.007323271955893408
2014-10-22,79.8505,80.3816,79.0176,79.1451,12742932,12742932,-0.441916,-0.555,79.5422,"Oct 22, 14",0.0017301957766516563
2014-10-23,80.1479,80.7173,79.774,79.9779,11352718,11352718,0.832839,1.052,80.2386,"Oct 23, 14",0.01227084715042971
2014-10-24,80.0459,80.3349,79.2216,80.3009,9740056,9740056,0.322937,0.404,79.9721,"Oct 24, 14",0.016359020053563975
2014-10-27,79.757,79.757,78.8392,79.638,11394514,11394514,-0.662869,-0.825,79.3999,"Oct 27, 14",0.007968772940598856
2014-10-28,80.2584,80.9,79.825,80.8193,12570452,12570452,1.1813,1.483,80.4994,"Oct 28, 14",0.02292034770986381
2014-10-29,81.0912,81.5671,79.5615,80.3859,12410105,12410105,-0.433416,-0.536,80.5547,"Oct 29, 14",0.017434855028073116
2014-10-30,79.774,80.4538,79.2216,80.2669,9767918,9767918,-0.118979,-0.148,79.9385,"Oct 30, 14",0.015928686063760463
2014-10-31,80.7258,82.3405,80.1479,82.1875,17493736,17493736,1.9206,2.393,81.5922,"Oct 31, 14",0.040237493734843456
2014-11-03,82.06,82.5189,80.5643,80.9552,13410561,13410561,-1.2323,-1.499,81.4328,"Nov 3, 14",0.02464041798087305
2014-11-04,80.3094,80.6408,79.791,80.3264,13498531,13498531,-0.62888,-0.777,80.1527,"Nov 4, 14",0.01668177054591679
2014-11-05,81.0402,81.3887,80.4368,80.7938,12480033,12480033,0.467408,0.582,80.8348,"Nov 5, 14",0.022597597217511176
2014-11-06,80.8873,81.941,80.1224,81.8051,14731392,14731392,1.0113,1.252,81.5016,"Nov 6, 14",0.03539750203775803
2014-11-07,82.0019,83.1661,81.9335,82.6782,13233484,13233484,0.873084,1.067,82.737,"Nov 7, 14",0.046448225758273926
2014-11-10,82.9178,83.1147,82.2331,82.4128,9087594,9087594,-0.265352,-0.321,82.5875,"Nov 10, 14",0.04308908926139512
